objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
nccucampusecho038,https://newspapers.digitalnc.org/lccn/2015236599/1967-05-26/ed-1/seq-4/,,NCC Sprinters Set 440 Record,application/pdf,"NCCU's sprinters set a new record on April 1, 1967 in the Fifth Annual Carolina State Record Relays in Columbia, South Carolina, winning the 440 relays event with a time of 41.4 seconds; they also placed high in the other events",,NCCU Students and Staff,05-26-1967,,single-page; newspaper,NCCU Track,"Durham, NC",,,,,DigitalNC.org,,,1967.05.26.4.nccsprintersset440record,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho039,https://newspapers.digitalnc.org/lccn/2015236599/1967-05-26/ed-1/seq-4/,,Tennis Team Play In Hampton Event,application/pdf,North Carolina College's tennis team played hard but lost by a one-match margin to Hampton Institute,,NCCU Students and Staff,05-26-1967,,single-page; newspaper,NCCU Tennis,"Durham, NC",,,,,DigitalNC.org,,,1967.05.26.4.tennisteamplayinhamptonevent,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho040,https://newspapers.digitalnc.org/lccn/2015236599/1967-05-26/ed-1/seq-4/,,Team Stands Out in College Tennis,application/pdf,"North Carolina College's tennis team had a 7-2 record in 1967, losing only to the Hampton Institute",,NCCU Students and Staff,05-26-1967,,single-page; newspaper,NCCU Tennis,"Durham, NC",,,,,DigitalNC.org,,,1967.05.26.4.teamstandsout in college tennis,https://rightsstatements.org/vocab/InC-EDU/1.0/,Educational Use,Text,eng,
nccucampusecho043,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,Whiting Assumes NCC Presidency on July 1,application/pdf,,,NCCU Students/Families,07-24-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho044,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,Ncc Professors Recieve Grants for '67-68 Research,application/pdf,,,NCCU Students/Families,07-25-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho045,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,World Association Accepts Ncc Union Into Menmbership,application/pdf,,,NCCU Students/Families,07-26-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho046,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,Porgy' Group Closes Summer Lyceum Series,application/pdf,,,NCCU Students/Families,07-27-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho047,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,Summer Session Miscellanea,application/pdf,,,NCCU Students/Families,07-28-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho048,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,Recruiting Increased Last Year,application/pdf,,,NCCU Students/Families,07-29-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho049,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,A-V Programs Funded,application/pdf,,,NCCU Students/Families,07-30-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho050,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,Presidential Greetings,application/pdf,,,NCCU Students/Families,07-31-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho051,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,Greetings From The Interim Commitee,application/pdf,,,NCCU Students/Families,08-01-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho052,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,Taylor to Lecture Abroad Next Year,application/pdf,,,NCCU Students/Families,08-02-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho053,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,Innovations In Student Personnel Services Set,application/pdf,,,NCCU Students/Families,08-03-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho054,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,Bursar Retire After Long Service,application/pdf,,,NCCU Students/Families,08-04-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho055,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,Four From NCC In Ivy League Summer Program,application/pdf,,,NCCU Students/Families,08-05-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho056,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,Excuse Sister Kenneth For Tardiness...LBJ,application/pdf,,,NCCU Students/Families,08-06-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho057,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,Two From Campus Are Duke Interns,application/pdf,,,NCCU Students/Families,08-07-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho058,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,Geography Major In Clark Project,application/pdf,,,NCCU Students/Families,08-08-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho059,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,Davis Accountant With Chemical Co.,application/pdf,,,NCCU Students/Families,08-09-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho060,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-1/,,"NCC's Special Institute Students From North, South, East, West",application/pdf,,,NCCU Students/Families,08-10-1967,,,,"Durham, NC",,,,,DigitalNC,,,,,,,english,
nccucampusecho061,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho062,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho063,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-4/,,Excuse Sister Kenneth For Tardiness...LBJ,application/pdf,,,NCCU Students,07-24-1967,,,,"Durham, NC",,,,,,,,,,,,,
nccucampusecho064,https://newspapers.digitalnc.org/lccn/2015236599/196,,Two From Campus Are Duke Interns,application/pdf,,,NCCU Students,07-24-1967,,,,"Durham, NC",,,,,,,,,,,,,
nccucampusecho065,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-4/,,Geography Major In Clark Project,application/pdf,,,NCCU Students,07-24-1967,,,,"Durham, NC",,,,,,,,,,,,,
nccucampusecho066,https://newspapers.digitalnc.org/lccn/2015236599/1967,,"NCC´S Special Institute Students From North, South, East, West",application/pdf,,,NCCU Students,07-24-1967,,,,"Durham, NC",,,,,,,,,,,,,
nccucampusecho067,https://newspapers.digitalnc.org/lccn/2015236599/1967,,Davis Accountant With Chemical Co.,application/pdf,,,NCCU Students,07-24-1967,,,,"Durham, NC",,,,,,,,,,,,,
nccucampusecho068,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-5/,,Housing Unit Sets Reservation Dates For 1967-68 Term,application/pdf,,,NCCU Students,07-24-1967,,,,"Durham, NC",,,,,,,,,,,,,
nccucampusecho069,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-5/,,Youths Study Science Here,application/pdf,,,NCCU Students,,,,,"Durham, NC",,,,,,,,,,,,,
nccucampusecho070,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-5/,,Librarian Granted Leave Of Absence,application/pdf,,,NCCU Students,,,,,"Durham, NC",,,,,,,,,,,,,
nccucampusecho071,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-5/,,Grad Featured In Publication ,application/pdf,,,NCCU Students,,,,,"Durham, NC",,,,,,,,,,,,,
nccucampusecho072,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-6/,,Twenty Are Visitors On Summer Faculty ,application/pdf,,,NCCU Students,,,,,"Durham, NC",,,,,,,,,,,,,
nccucampusecho073,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-6/,,Switchboard Gets Unusual Requests ,application/pdf,,,NCCU Students,,,,,"Durham, NC",,,,,,,,,,,,,
nccucampusecho074,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-6/,,Duplicating Department Offers Varied Services,application/pdf,,,NCCU Studentes,,,,,"Durham, NC",,,,,,,,,,,,,
nccucampusecho075,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-6/,,Two Get McClure Grants For ´67-68,application/pdf,,,NCCU Students,,,,,"Durham, NC",,,,,,,,,,,,,
nccucampusecho076,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho077,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho078,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho079,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho080,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho081,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho082,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho083,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho084,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho085,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho086,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-10/,,Another Nine-Story Dormitory Will Rise On South Campus,application/pdf,A nine story dorm is being built with many new accommodations for students.,,NCCU Students/Staff,08-24-1967,,single-page;newspaper,Dorm Construction,"Durham, NC",,,,,DigitalNC.org,,,1967.08.24anotherninestorydormitorywillriseonsouthcampus,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,eng,
nccucampusecho087,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-10/,,Media Insistute Students Examine New Materials ,application/pdf,,,NCCU Students and Staff,08-24-1967,,single-page;newspaper,,"Durham, NC",,,,,DigitalNC.org,,,1967.08.24mediainsistutestudentsexaminenewmaterials ,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,eng,
nccucampusecho088,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-10/,,16 Experienced Teachers To Attend On Fellowships,application/pdf,,,NCCU Students and Staff,08-24-1967,,single-page;newspaper,,"Durham, NC",,,,,DigitalNC.org,,,1967.08.2416experiencedteacherstoattendonfellowships,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,eng,
nccucampusecho089,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-10/,,Mixed Aid Sources Make Good Packages ,application/pdf,,W.C. Blackwell ,NCCU Students and Staff,08-24-1967,,single-page;newspaper,,"Durham, NC",,,,,DigitalNC.org,,,1967.08.24mixedsidsourcesmakegoodpackages ,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,eng,
nccucampusecho090,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-10/,,,application/pdf,,,NCCU Students and Staff,08-24-1967,,single-page;newspaper,,"Durham, NC",,,,,DigitalNC.org,,,1967.08.24,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,eng,
nccucampusecho091,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-10/,,,application/pdf,,,NCCU Students and Staff,08-24-1967,,single-page;newspaper,,"Durham, NC",,,,,DigitalNC.org,,,1967.08.24,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,eng,
nccucampusecho092,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-10/,,,application/pdf,,,NCCU Students and Staff,08-24-1967,,single-page;newspaper,,"Durham, NC",,,,,DigitalNC.org,,,1967.08.24,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,eng,
nccucampusecho093,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-10/,,,application/pdf,,,NCCU Students and Staff,08-24-1967,,single-page;newspaper,,"Durham, NC",,,,,DigitalNC.org,,,1967.08.24,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,eng,
nccucampusecho094,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-10/,,,application/pdf,,,NCCU Students and Staff,08-24-1967,,single-page;newspaper,,"Durham, NC",,,,,DigitalNC.org,,,1967.08.24,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,eng,
nccucampusecho095,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-10/,,,application/pdf,,,NCCU Students and Staff,08-24-1967,,single-page;newspaper,,"Durham, NC",,,,,DigitalNC.org,,,1967.08.24,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,eng,
nccucampusecho096,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-10/,,,application/pdf,,,NCCU Students and Staff,08-24-1967,,single-page;newspaper,,"Durham, NC",,,,,DigitalNC.org,,,1967.08.24,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,eng,
nccucampusecho097,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-10/,,,application/pdf,,,NCCU Students and Staff,08-24-1967,,single-page;newspaper,,"Durham, NC",,,,,DigitalNC.org,,,1967.08.24,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,eng,
nccucampusecho098,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-10/,,,application/pdf,,,NCCU Students and Staff,08-24-1967,,single-page;newspaper,,"Durham, NC",,,,,DigitalNC.org,,,1967.08.24,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,eng,
nccucampusecho099,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-10/,,,application/pdf,,,NCCU Students and Staff,08-24-1967,,single-page;newspaper,,"Durham, NC",,,,,DigitalNC.org,,,1967.08.24,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,eng,
nccucampusecho100,https://newspapers.digitalnc.org/lccn/2015236599/1967-07-24/ed-1/seq-10/,,,application/pdf,,,NCCU Students and Staff,08-24-1967,,single-page;newspaper,,"Durham, NC",,,,,DigitalNC.org,,,1967.08.24,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,eng,
nccucampusecho101,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho102,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho103,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho104,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho105,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho106,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho107,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho108,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho109,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho110,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho111,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho112,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho113,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho114,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho115,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho116,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho117,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho118,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho119,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho120,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho121,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho122,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho123,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho124,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho125,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho126,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho127,,,,,,,,,,,,,,,,,,,,,,,,,
nccucampusecho128,,,,,,,,,,,,,,,,,,,,,,,,,
